LinkID;LinkIDFrom;LinkIDTo;Qmax_spl;Qkap;Qskut;Vskut;Hskut_h;Hskut_d;Qhmax;Q24
2304569;588004;588001;0.0407;76.199;83.9241;1.1863;342.4152;342.1429;0.0397;0.024
2304570;588300;588004;0.0199;72.5395;88.5013;1.3023;342.7483;342.4152;0.0194;0.0117
2307159;207927;133682;0.1305;351.6698;25.6978;1.6015;283.0871;282.9395;0.1305;0.1305
2406983;765276;692963;0.2269;102.3128;173.3692;2.4507;333.3263;332.7592;0.2221;0.1515
2406984;692963;692964;0.2268;259.5419;169.6759;0.9411;332.7592;332.7043;0.2221;0.1515
2406985;692964;693269;0.2264;160.3164;231.4828;1.3636;332.7043;332.5133;0.222;0.1515
2406988;765275;180722;3.5241;1308.4479;1271.7971;2.6311;332.3029;332.1781;3.4658;2.3114
2406989;693269;765275;0.5832;404.7347;262.5553;1.3974;332.5133;332.3029;0.5715;0.3789
2407300;296570;693605;2.8767;2642.0939;942.4777;2.8302;335.4726;334.3055;2.8298;1.8636
2407301;693605;765275;2.8766;808.4768;1016.7204;3.5296;334.3055;332.3029;2.8278;1.8636
2412721;499218;56742;0.6422;202.4663;61.6369;2.0878;331.4897;330.8268;0.6356;0.4796
2412722;56742;698405;0.6422;1034.6583;61.8185;2.1663;330.8268;330.6212;0.6357;0.4796
2412723;698405;65123;0.6422;1058.1953;61.6749;1.2766;330.6212;330.3745;0.6357;0.4796
2414641;64957;699680;82.4076;1316.9513;1239.006;2.2596;326.6364;326.3486;79.9014;52.645
2414642;699680;63581;82.5027;2466.8316;1236.0829;3.1469;326.3486;325.7026;79.9944;52.7089
2414643;63581;700024;82.5128;2624.5877;1235.8363;3.2917;325.7026;325.2637;80.0092;52.7154
247505;50725;50724;0.0724;109.9594;30.8185;0.7126;363.6091;363.5558;0.0709;0.0493
247521;50724;50723;0.162;182.0914;103.5106;1.4991;363.5558;363.3936;0.1587;0.1134
247537;50722;50721;0.1908;186.831;102.7129;1.5248;363.1314;362.9373;0.1869;0.1331
247553;50720;51567;0.2183;220.483;136.1384;1.8493;362.3371;362.0763;0.2134;0.1519
247569;61392;61393;0.1614;240.284;33.226;1.7445;414.8458;413.3789;0.1578;0.1096
247585;61394;61395;0.1613;368.5937;33.1686;2.3807;412.029;407.2007;0.1574;0.1096
2479284;63678;203469;0.0302;220.9196;26.5397;2.118;397.1906;394.483;0.0294;0.0182
2479285;203469;63679;0.0508;251.6285;25.5921;0.9883;394.483;393.4801;0.0494;0.0303
247953;51900;51901;2.8038;446.2893;327.1826;2.4863;347.5576;347.3392;2.7646;1.5043
247969;51351;51903;0.264;175.8948;1.6462;0.0756;345.9075;345.9073;0.2564;0.1349
247985;51349;51896;3.074;199.8963;326.6387;1.7137;345.8134;345.7182;3.0349;1.6487
248001;51896;51895;3.0762;349.4258;337.2059;1.8096;345.7182;345.6233;3.0382;1.6514
248017;51895;51894;3.0824;266.7976;337.2096;1.8884;345.6233;345.3244;3.046;1.658
2835128;331776;1237293;0.0435;57.0207;14.6514;0.7699;356.3383;356.3025;0.0426;0.0277
2835129;1237294;1237295;0.0215;132.0727;0.0082;0.0082;357.5718;357.2251;0.0209;0.0127
2835130;1237295;237143;0.0372;111.8503;32.4514;0.9311;357.2251;357.1979;0.0362;0.022
2839281;65584;1243669;0.0071;124.0332;6.505;0.1645;322.8134;323.1204;0.0069;0.0063
2839282;1243669;230963;0.0253;102.1185;35.9166;0.9581;323.1204;323.2414;0.0248;0.0182
2840242;1244949;230964;0.1088;80.8925;102.7888;1.453;322.3672;322.008;0.1068;0.0707
2840243;1244950;1244949;0.0756;74.6982;39.9125;0.7238;322.4376;322.3672;0.0741;0.0491
2840244;1244951;1244950;0.0333;88.0217;43.8272;1.1818;322.4966;322.4376;0.0326;0.0216
285265;49849;49840;0.3478;79.6868;35.463;0.7607;331.3073;331.3065;0.3449;0.2605
285281;49840;49841;3.7626;113.749;132.3483;1.8709;331.3065;330.9733;3.7479;2.8192
285297;49842;49850;3.7807;119.7846;129.8621;1.9508;330.1993;329.5338;3.7663;2.8328
292497;52018;65248;12.5962;1650.411;1735.7485;3.4504;302.377;302.2051;10.7921;7.152
2436435;723037;723036;0.0271;297.862;25.268;0.2601;346.5823;346.5823;0.027;0.0269
2436436;723040;723039;0.027;173.7159;15.1024;0.3601;346.5865;346.5859;0.027;0.0269
2436437;723043;723041;0.0243;478.5811;21.6085;0.5842;346.6875;346.6148;0.0243;0.0243
2436438;723041;723040;0.027;346.7323;13.1496;0.4865;346.6148;346.5865;0.0269;0.0269
2436439;723050;723051;0.0407;860.4106;17.2999;0.6893;349.8285;349.7366;0.0407;0.0407
2436440;723051;723049;0.0408;860.4106;17.0582;0.6987;349.7366;349.6347;0.0408;0.0408
2436441;723049;723048;0.0605;1279.0351;17.1205;0.8932;349.6347;349.4679;0.0605;0.0605
2436442;723048;723047;0.1122;2459.2635;17.1425;1.2486;349.4679;349.1553;0.1122;0.1122
2436443;723047;723046;0.1122;1786.6432;16.992;1.0978;349.1553;348.2627;0.1122;0.1122
2436444;723046;723045;0.1123;1786.6432;12.9421;0.6799;348.2627;348.2628;0.1122;0.1122
2436445;723052;723045;0.5674;214.3196;335.929;1.6231;348.5274;348.2628;0.5674;0.5674
